 	Area	Mean	X	Y	XM	YM
3210	3318	127.501	323.645	245.327	323.712	245.320
3211	3304	127.532	323.743	246.009	323.812	245.996
3212	3306	127.582	323.625	246.334	323.693	246.303
3213	3312	127.490	323.405	246.201	323.468	246.168
3214	3300	127.629	323.672	245.861	323.742	245.832
3215	3310	127.676	323.313	245.852	323.382	245.823
3216	3312	127.725	323.773	245.995	323.853	245.973
3217	3306	127.709	323.546	245.989	323.629	245.965
3218	3302	128.187	323.914	245.775	324.011	245.748
3219	3279	128.656	323.794	245.660	323.903	245.626
3220	3292	128.801	324.006	245.898	324.113	245.846
3221	3263	128.938	324.251	245.867	324.357	245.830
3222	3270	128.776	324.013	245.598	324.106	245.568
3223	3265	128.882	324.306	246.199	324.401	246.170
3224	3241	128.994	324.188	246.577	324.276	246.527
3225	3229	129.108	324.493	246.215	324.592	246.165
3226	3230	129.016	324.368	246.269	324.467	246.234
3227	3246	128.834	324.373	246.322	324.472	246.293
3228	3237	128.901	324.357	246.581	324.454	246.561
3229	3242	129.035	324.631	246.432	324.727	246.404
3230	3217	129.145	324.529	246.670	324.639	246.669
3231	3238	129.290	324.536	246.797	324.622	246.786
3232	3237	128.995	324.346	246.885	324.433	246.878
3233	3238	128.819	324.267	247.106	324.349	247.080
3234	3255	128.616	324.366	247.255	324.452	247.242
3235	3236	128.734	324.286	247.502	324.379	247.474
3236	3223	128.859	324.417	247.250	324.534	247.220
3237	3241	128.672	324.192	247.159	324.310	247.115
3238	3253	129.016	324.342	247.287	324.452	247.244
3239	3248	128.871	324.181	247.523	324.282	247.490
3240	3244	129.059	324.429	247.170	324.544	247.142
3241	3249	129.101	324.068	246.926	324.154	246.894
3242	3239	129.366	324.066	247.222	324.160	247.195
3243	3245	129.133	323.935	247.347	324.034	247.319
3244	3249	128.840	323.750	247.285	323.830	247.240
3245	3261	128.752	323.741	247.442	323.826	247.390
3246	3252	129.048	324.114	247.439	324.195	247.399
3247	3259	128.553	323.709	247.238	323.787	247.199
3248	3255	128.810	323.722	247.044	323.802	246.994
3249	3272	128.454	323.600	247.043	323.687	246.996
3250	3262	128.428	323.638	246.982	323.736	246.947
3251	3278	128.379	323.840	246.825	323.935	246.778
3252	3265	127.943	323.781	247.151	323.874	247.108
3253	3267	128.299	323.894	247.204	323.972	247.150
3254	3284	128.240	323.604	246.568	323.689	246.529
3255	3273	128.064	324.005	246.638	324.081	246.587
3256	3271	128.185	323.605	246.474	323.689	246.430
3257	3275	128.094	323.785	246.507	323.866	246.460
3258	3250	128.434	323.933	245.939	324.024	245.895
3259	3259	128.422	324.181	246.183	324.274	246.144
3260	3247	128.194	324.126	245.866	324.221	245.827
3261	3254	128.114	324.073	245.946	324.173	245.909
3262	3248	128.462	323.871	245.822	323.963	245.791
3263	3251	128.612	323.989	245.830	324.089	245.807
3264	3265	128.455	323.955	245.677	324.067	245.660
3265	3251	128.306	324.173	245.725	324.289	245.706
3266	3243	128.322	324.064	245.866	324.173	245.849
3267	3242	128.470	323.757	246.016	323.871	245.986
3268	3236	128.655	324.163	246.050	324.263	246.041
3269	3230	128.363	323.715	245.649	323.798	245.642
3270	3231	128.527	324.119	245.528	324.212	245.501
3271	3245	128.353	323.851	245.315	323.934	245.290
3272	3223	128.460	324.101	244.902	324.195	244.902
3273	3217	128.439	324.027	244.771	324.130	244.772
3274	3224	128.663	324.071	245.492	324.160	245.493
3275	3209	128.555	324.136	245.762	324.228	245.756
3276	3216	128.394	324.039	245.692	324.137	245.699
3277	3230	128.160	323.878	246.278	323.966	246.282
3278	3235	128.441	323.736	246.591	323.819	246.590
3279	3224	128.052	324.102	246.588	324.196	246.580
3280	3244	128.010	323.911	246.640	324.013	246.624
3281	3247	127.567	324.076	246.818	324.165	246.807
3282	3234	127.675	324.022	246.408	324.117	246.401
3283	3241	127.411	324.369	245.887	324.472	245.874
3284	3238	127.227	324.104	245.827	324.209	245.812
3285	3248	127.169	324.511	246.323	324.617	246.301
3286	3242	127.527	324.229	245.975	324.325	245.958
3287	3208	127.589	324.567	245.521	324.660	245.501
3288	3221	127.622	324.361	245.193	324.464	245.185
3289	3228	127.704	324.449	245.025	324.550	245.008
3290	3194	127.699	324.785	244.673	324.879	244.641
3291	3200	127.400	324.709	244.690	324.794	244.675
3292	3196	127.506	324.717	244.704	324.815	244.695
3293	3184	127.766	324.638	245.464	324.721	245.438
3294	3178	127.511	324.698	245.938	324.796	245.917
3295	3179	127.814	324.680	245.954	324.782	245.942
3296	3180	128.109	324.664	245.505	324.766	245.492
3297	3176	127.983	324.611	245.707	324.715	245.688
3298	3183	128.126	324.747	245.701	324.860	245.671
3299	3165	128.071	324.667	245.112	324.780	245.089
3300	3157	128.121	325.006	245.333	325.112	245.312
3301	3160	128.118	324.819	245.007	324.932	244.990
3302	3168	127.962	324.961	245.374	325.077	245.360
3303	3156	127.708	324.766	245.154	324.895	245.155
3304	3162	127.340	324.916	245.468	325.044	245.473
3305	3171	127.365	325.103	245.264	325.221	245.259
3306	3170	127.390	324.984	245.009	325.107	245.014
3307	3155	127.539	325.078	244.483	325.198	244.485
3308	3153	127.614	324.886	244.294	325.007	244.316
3309	3147	127.311	325.122	244.718	325.252	244.731
3310	3153	127.274	325.045	244.661	325.186	244.668
3311	3144	127.560	325.268	244.767	325.407	244.774
3312	3148	127.314	325.030	244.676	325.171	244.680
3313	3127	127.487	325.335	245.106	325.472	245.109
3314	3147	127.497	325.064	245.586	325.198	245.585
3315	3128	127.614	325.448	245.377	325.581	245.365
3316	3124	127.808	325.113	245.280	325.243	245.276
3317	3130	127.946	325.186	245.269	325.323	245.288
3318	3133	127.694	325.108	244.826	325.232	244.828
3319	3097	128.027	325.046	244.988	325.181	244.997
3320	3119	128.198	325.070	244.983	325.178	244.992
3321	3117	128.450	324.649	245.538	324.756	245.547
3322	3125	128.293	324.862	245.748	324.976	245.768
3323	3107	128.386	324.627	245.794	324.739	245.804
3324	3147	128.307	324.938	245.993	325.051	246.006
3325	3120	128.407	324.929	245.956	325.038	245.962
3326	3137	128.288	324.956	245.743	325.072	245.742
3327	3161	127.975	324.917	245.717	325.028	245.717
3328	3161	127.762	324.902	245.823	325.014	245.817
3329	3160	127.899	324.639	245.895	324.757	245.883
3330	3188	127.706	324.825	245.907	324.936	245.896
3331	3202	127.792	324.594	246.102	324.696	246.083
3332	3184	128.000	324.816	246.049	324.934	246.037
3333	3192	127.720	324.537	245.938	324.634	245.939
3334	3201	127.873	324.394	245.891	324.494	245.876
3335	3183	128.192	324.595	245.948	324.689	245.934
3336	3187	128.235	324.378	245.558	324.461	245.546
3337	3169	128.376	324.782	245.263	324.878	245.256
3338	3184	128.239	324.425	245.367	324.514	245.361
