 	Area	Mean	X	Y	XM	YM
3283	3717	119.194	317.646	243.195	317.829	243.119
3284	3722	119.472	317.656	243.900	317.834	243.823
3285	3707	119.322	317.639	244.026	317.821	243.935
3286	3711	119.340	317.491	244.219	317.674	244.138
3287	3701	119.811	317.583	244.502	317.765	244.415
3288	3727	119.289	317.095	243.920	317.289	243.829
3289	3743	119.435	317.377	243.335	317.560	243.255
3290	3752	119.168	316.994	243.470	317.190	243.379
3291	3758	119.309	316.981	243.702	317.166	243.625
3292	3745	119.204	317.287	243.457	317.465	243.376
3293	3756	119.515	317.092	243.417	317.281	243.334
3294	3752	119.519	317.077	242.918	317.277	242.848
3295	3748	119.279	316.923	243.215	317.114	243.137
3296	3754	119.161	316.883	243.024	317.080	242.929
3297	3741	118.732	317.234	242.914	317.440	242.821
3298	3734	118.597	317.431	242.753	317.636	242.663
3299	3757	118.548	317.078	243.176	317.297	243.076
3300	3744	118.275	317.286	244.078	317.501	243.995
3301	3750	118.163	316.824	244.168	317.041	244.072
3302	3728	118.122	317.246	243.507	317.476	243.431
3303	3730	117.910	317.204	243.606	317.440	243.510
3304	3727	117.893	317.781	243.295	318.006	243.203
3305	3728	118.071	317.530	243.870	317.742	243.781
3306	3746	118.168	317.619	242.959	317.824	242.878
3307	3739	117.965	317.246	243.036	317.455	242.953
3308	3753	118.392	317.163	243.118	317.380	243.037
3309	3733	118.647	317.325	243.690	317.542	243.599
3310	3745	118.452	317.260	243.790	317.482	243.708
3311	3736	118.421	317.161	244.245	317.375	244.163
3312	3763	118.032	316.663	243.864	316.878	243.769
3313	3751	117.930	317.018	243.739	317.248	243.644
3314	3748	117.997	317.174	243.542	317.405	243.446
3315	3741	118.094	317.218	243.848	317.434	243.742
3316	3756	118.229	317.158	244.150	317.359	244.070
3317	3758	118.307	317.120	244.058	317.337	243.972
3318	3746	118.445	317.037	243.742	317.266	243.667
3319	3758	118.489	317.007	244.163	317.202	244.082
3320	3775	118.013	316.630	244.406	316.814	244.328
3321	3786	118.203	316.568	244.506	316.757	244.444
3322	3781	118.669	316.461	244.601	316.643	244.553
3323	3792	119.160	316.432	244.570	316.629	244.516
3324	3779	119.464	316.503	244.814	316.699	244.745
3325	3772	119.820	316.574	244.817	316.774	244.753
3326	3772	119.698	316.613	245.050	316.821	244.971
3327	3778	119.636	316.394	244.938	316.584	244.867
3328	3777	119.936	316.377	244.818	316.565	244.761
3329	3786	119.795	316.002	244.813	316.197	244.754
3330	3803	119.669	316.025	244.568	316.227	244.531
3331	3800	119.516	316.178	244.372	316.375	244.326
3332	3802	119.557	315.875	243.826	316.066	243.772
3333	3803	119.346	315.855	243.824	316.059	243.777
3334	3808	119.007	315.745	243.752	315.934	243.712
3335	3811	119.337	315.506	244.610	315.705	244.557
3336	3815	119.256	315.823	245.002	316.007	244.944
3337	3814	119.020	315.571	245.179	315.766	245.118
3338	3822	118.996	315.310	244.750	315.491	244.700
3339	3821	119.229	315.356	244.684	315.532	244.643
3340	3818	119.303	315.425	244.063	315.607	244.010
3341	3809	118.985	315.639	244.070	315.823	244.002
3342	3800	119.194	315.876	244.065	316.067	244.018
3343	3780	119.444	316.392	244.395	316.580	244.336
3344	3776	119.551	316.275	244.532	316.465	244.481
3345	3788	119.134	316.149	244.175	316.344	244.126
3346	3776	119.296	316.242	244.772	316.432	244.709
3347	3781	118.989	316.009	244.452	316.199	244.399
3348	3774	118.773	316.005	243.896	316.209	243.833
3349	3787	118.835	316.072	244.040	316.278	243.989
3350	3782	118.922	316.108	244.122	316.299	244.085
3351	3770	118.876	316.524	244.479	316.722	244.447
3352	3772	118.903	316.130	244.099	316.339	244.070
3353	3788	118.898	315.957	244.079	316.163	244.047
3354	3791	118.826	316.105	244.064	316.329	244.039
3355	3787	118.711	315.924	244.308	316.157	244.293
3356	3793	118.766	316.196	244.532	316.414	244.530
3357	3798	118.501	316.231	244.333	316.446	244.313
3358	3789	118.065	316.388	244.143	316.612	244.106
3359	3794	118.370	316.332	244.244	316.560	244.210
3360	3779	118.394	316.423	243.863	316.659	243.840
3361	3785	118.354	316.370	243.569	316.603	243.560
3362	3780	118.783	317.141	243.145	317.373	243.124
3363	3762	118.806	318.041	243.573	318.285	243.555
3364	3772	118.633	318.950	243.671	319.192	243.649
3365	3793	118.259	319.438	244.104	319.666	244.091
3366	3793	118.487	320.545	244.323	320.775	244.311
3367	3800	118.259	321.142	244.496	321.367	244.465
3368	3811	118.298	321.852	243.846	322.084	243.836
3369	3810	118.142	323.244	243.902	323.463	243.886
3370	3826	118.319	323.588	244.444	323.789	244.424
3371	3832	118.346	324.991	244.081	325.191	244.055
3372	3842	118.243	325.397	244.084	325.582	244.055
3373	3859	118.233	326.450	243.920	326.626	243.892
3374	3860	118.411	326.873	243.278	327.042	243.237
3375	3876	118.737	327.433	243.342	327.618	243.296
3376	3907	118.492	327.228	243.014	327.397	242.968
3377	3912	118.763	327.920	243.049	328.095	242.992
3378	3926	118.813	328.583	243.832	328.748	243.786
3379	3940	118.745	329.258	244.298	329.410	244.243
3380	3941	118.993	329.923	244.550	330.079	244.494
3381	3953	118.829	330.792	245.194	330.954	245.138
3382	3973	118.998	331.699	245.885	331.853	245.833
3383	3979	119.526	332.003	245.675	332.159	245.628
3384	3985	119.145	332.502	245.416	332.652	245.362
3385	4000	119.713	332.845	245.369	332.991	245.314
3386	4011	119.446	333.328	244.988	333.464	244.949
3387	4018	119.217	333.138	245.807	333.264	245.774
3388	4027	119.168	332.912	245.495	333.026	245.462
3389	4023	118.756	332.361	245.624	332.492	245.603
3390	4021	118.659	332.580	245.524	332.708	245.486
3391	4019	118.648	332.194	245.877	332.313	245.844
3392	4021	118.749	332.140	245.647	332.264	245.611
3393	4019	119.113	331.037	245.537	331.154	245.503
3394	4009	118.708	329.731	245.475	329.853	245.446
3395	4020	119.126	328.463	245.529	328.582	245.496
3396	4015	118.567	327.456	245.239	327.576	245.206
3397	4008	118.514	327.203	245.021	327.315	244.986
3398	3997	118.778	326.948	244.374	327.052	244.337
3399	4001	118.567	326.714	243.659	326.808	243.598
3400	4007	118.777	325.433	244.052	325.522	243.992
3401	4003	118.700	324.568	244.703	324.679	244.648
3402	4013	118.605	323.477	244.824	323.591	244.766
3403	4018	119.114	323.494	244.955	323.620	244.905
3404	3999	118.996	323.044	244.812	323.176	244.773
3405	4015	119.092	323.159	245.352	323.287	245.321
3406	4012	118.920	322.421	245.718	322.539	245.672
3407	4016	118.687	321.948	245.256	322.078	245.196
3408	4008	118.586	322.112	244.431	322.235	244.360
3409	4035	119.093	322.052	244.236	322.179	244.173
3410	4033	119.157	322.307	244.229	322.440	244.175
3411	4017	119.087	322.377	243.413	322.503	243.374
3412	4025	119.037	322.432	243.517	322.537	243.465
3413	4020	119.035	322.149	243.033	322.270	242.978
3414	4018	119.113	322.273	243.270	322.389	243.220
3415	4020	119.269	322.308	243.318	322.417	243.269
3416	4005	119.447	323.039	243.881	323.160	243.827
3417	4025	119.973	322.305	243.554	322.432	243.524
3418	4021	119.777	321.877	243.273	321.996	243.247
3419	4027	119.859	320.730	243.606	320.841	243.590
3420	4020	119.904	320.900	243.996	321.010	243.975
3421	4029	119.607	320.741	243.976	320.850	243.939
3422	4016	119.460	319.989	243.544	320.089	243.503
3423	4036	119.354	319.735	243.993	319.812	243.946
3424	4027	119.416	320.236	243.820	320.308	243.760
3425	4028	119.291	320.357	243.773	320.448	243.715
3426	4020	119.360	320.393	244.342	320.483	244.293
3427	4010	119.534	320.604	245.021	320.697	244.957
3428	3992	119.801	320.448	244.937	320.562	244.862
3429	3991	120.043	320.788	245.357	320.909	245.285
3430	4015	119.939	321.106	245.826	321.225	245.760
3431	3999	119.970	321.135	245.820	321.268	245.759
3432	4000	120.022	321.171	245.384	321.304	245.317
3433	4006	119.925	321.455	245.040	321.589	244.978
3434	4008	119.494	320.935	244.848	321.073	244.790
3435	3998	119.513	321.421	245.112	321.548	245.053
3436	3992	119.791	321.107	245.698	321.246	245.635
3437	3993	119.588	321.443	246.255	321.581	246.204
3438	3997	119.796	321.596	245.643	321.736	245.575
3439	4001	119.658	321.538	245.686	321.679	245.610
3440	3997	120.217	321.469	246.197	321.596	246.124
3441	3992	120.205	320.726	245.569	320.843	245.479
3442	4004	120.061	320.115	244.604	320.224	244.533
3443	3995	120.245	319.854	245.039	319.974	244.976
3444	3993	119.945	319.458	245.070	319.588	244.998
3445	3998	120.196	319.692	244.596	319.829	244.524
3446	4009	120.114	319.432	244.349	319.558	244.293
3447	4012	120.013	319.010	244.274	319.134	244.227
3448	4000	119.646	319.004	243.935	319.122	243.892
3449	4010	119.221	319.149	244.250	319.271	244.201
3450	4013	119.318	319.553	243.673	319.684	243.613
3451	4017	119.076	319.757	243.837	319.874	243.780
3452	4013	118.914	319.776	243.880	319.909	243.843
3453	4027	118.973	319.830	243.957	319.964	243.917
3454	4025	118.947	319.165	243.510	319.307	243.476
3455	4020	119.360	319.015	243.281	319.176	243.260
3456	4010	119.346	317.529	243.748	317.677	243.709
3457	3995	119.018	316.427	244.277	316.574	244.232
3458	4009	119.269	316.214	243.968	316.364	243.921
3459	4013	119.081	315.805	243.922	315.941	243.867
3460	4022	119.024	315.123	243.316	315.267	243.274
3461	4004	119.354	315.327	244.342	315.476	244.297
3462	4023	119.436	314.265	244.452	314.397	244.410
3463	4012	119.781	314.449	244.256	314.591	244.209
3464	4020	119.348	313.299	243.930	313.448	243.880
3465	4008	119.397	313.712	243.919	313.879	243.877
3466	4012	119.048	313.197	243.634	313.357	243.605
3467	4014	119.087	313.008	243.501	313.161	243.473
3468	4024	118.618	312.565	243.265	312.719	243.232
3469	4028	118.692	312.374	243.385	312.534	243.346
3470	4018	118.730	311.285	243.524	311.469	243.489
3471	4019	118.355	310.621	243.573	310.788	243.541
3472	4012	118.142	310.245	243.920	310.420	243.895
3473	4011	118.090	310.168	244.041	310.341	243.994
3474	4007	118.600	309.468	244.004	309.669	243.960
3475	4004	118.133	309.319	243.195	309.530	243.177
3476	4015	117.804	310.232	243.079	310.448	243.059
3477	4022	117.900	309.885	243.143	310.096	243.129
3478	4018	118.052	309.934	243.191	310.139	243.180
3479	4016	117.605	309.471	243.263	309.676	243.261
3480	4015	117.391	308.833	243.459	309.038	243.462
3481	4019	117.315	308.212	243.024	308.414	243.031
3482	4012	117.211	307.643	243.279	307.845	243.289
3483	4018	117.243	307.471	243.639	307.670	243.654
3484	4007	117.169	307.463	243.760	307.664	243.766
3485	4008	117.511	308.719	244.002	308.915	244.011
3486	3996	117.851	309.245	244.350	309.437	244.340
3487	3997	117.766	309.346	244.663	309.533	244.649
3488	3987	117.890	310.186	244.914	310.374	244.904
3489	3979	118.092	310.339	245.041	310.530	245.027
3490	3970	117.915	310.740	244.632	310.916	244.625
3491	3959	118.201	311.212	244.804	311.390	244.794
3492	3964	117.873	311.444	244.610	311.630	244.596
3493	3949	117.905	312.307	244.685	312.495	244.672
3494	3939	118.181	312.886	245.334	313.062	245.311
3495	3945	117.960	312.827	244.747	313.009	244.727
3496	3929	117.800	313.188	244.832	313.374	244.831
3497	3926	117.475	313.126	244.779	313.324	244.757
3498	3912	117.297	313.308	243.913	313.513	243.899
3499	3910	117.469	313.540	244.305	313.750	244.286
3500	3903	117.724	313.765	244.405	313.965	244.375
3501	3885	117.993	314.093	244.054	314.291	244.032
3502	3875	118.188	314.494	243.642	314.696	243.643
3503	3891	118.261	314.352	243.659	314.552	243.645
3504	3876	118.022	314.570	243.833	314.770	243.824
3505	3859	117.711	314.657	243.475	314.856	243.453
3506	3868	117.830	314.868	243.639	315.071	243.603
3507	3865	118.192	314.994	243.385	315.180	243.368
3508	3860	118.042	315.164	243.453	315.337	243.429
3509	3868	117.655	315.084	243.828	315.276	243.821
3510	3850	117.996	315.455	243.991	315.636	243.982
3511	3841	118.030	315.461	243.962	315.626	243.960
3512	3830	117.798	315.904	244.326	316.073	244.312
3513	3825	117.696	316.066	244.465	316.238	244.456
3514	3822	118.219	316.225	245.075	316.396	245.068
3515	3829	118.501	316.169	245.070	316.332	245.071
3516	3831	118.460	316.005	244.357	316.176	244.355
3517	3829	118.711	316.498	244.043	316.651	244.041
3518	3820	118.484	316.094	244.248	316.258	244.245
3519	3805	118.828	316.707	243.563	316.880	243.546
3520	3798	118.749	316.989	243.624	317.156	243.618
3521	3785	119.149	317.201	243.489	317.364	243.475
3522	3793	119.296	317.370	243.833	317.530	243.816
3523	3797	119.412	316.950	244.366	317.114	244.346
3524	3799	119.356	317.118	244.234	317.270	244.192
3525	3774	119.630	317.366	244.044	317.535	244.014
3526	3775	119.255	317.210	243.470	317.369	243.439
3527	3770	119.578	317.359	243.625	317.521	243.581
3528	3776	119.533	317.309	244.046	317.465	244.003
3529	3774	119.634	317.349	244.490	317.512	244.434
3530	3804	119.318	317.316	245.069	317.488	245.026
3531	3786	119.097	317.235	245.260	317.409	245.211
3532	3785	119.013	317.529	245.769	317.711	245.705
3533	3777	118.813	316.973	245.437	317.138	245.366
3534	3795	118.819	317.400	245.821	317.565	245.746
3535	3808	118.690	317.077	245.766	317.242	245.685
3536	3788	119.053	317.189	245.341	317.350	245.265
3537	3774	119.103	317.389	245.918	317.553	245.841
3538	3794	119.159	317.080	245.701	317.249	245.620
3539	3784	119.336	316.897	245.850	317.065	245.772
3540	3798	119.414	316.692	245.558	316.866	245.479
3541	3804	119.400	316.567	245.363	316.733	245.282
3542	3791	119.612	316.836	245.103	317.003	245.044
3543	3778	119.997	317.085	245.048	317.251	244.987
3544	3782	119.696	316.819	245.153	316.979	245.078
3545	3778	119.940	317.364	244.965	317.509	244.875
3546	3769	119.746	316.827	244.580	316.978	244.498
3547	3770	119.882	317.537	244.608	317.706	244.534
3548	3764	119.793	317.273	245.386	317.430	245.311
3549	3767	120.040	317.121	245.915	317.280	245.850
3550	3752	119.982	317.507	245.418	317.681	245.357
3551	3741	120.038	317.413	245.247	317.593	245.185
3552	3761	119.856	317.508	245.313	317.684	245.241
3553	3770	119.629	317.160	245.223	317.326	245.168
3554	3777	119.415	317.096	245.707	317.279	245.656
3555	3776	119.221	316.957	245.466	317.146	245.405
3556	3777	119.355	316.698	245.715	316.899	245.657
3557	3784	119.430	316.678	245.116	316.874	245.071
3558	3774	119.232	316.865	244.929	317.075	244.870
3559	3786	118.918	316.780	244.763	316.997	244.699
3560	3780	118.789	316.837	244.333	317.035	244.262
3561	3786	118.708	316.395	244.429	316.596	244.361
3562	3794	118.658	316.565	244.535	316.758	244.463
3563	3787	119.018	316.822	244.523	317.023	244.446
3564	3768	119.761	316.955	244.976	317.128	244.891
3565	3770	119.600	317.190	244.989	317.373	244.882
3566	3786	119.737	316.661	245.104	316.836	245.011
3567	3770	119.618	317.135	245.429	317.301	245.329
3568	3769	119.457	316.835	245.168	317.005	245.072
3569	3785	119.324	316.327	244.862	316.498	244.768
3570	3781	119.390	316.520	245.067	316.687	244.975
3571	3775	119.853	316.554	244.867	316.724	244.784
3572	3762	119.624	316.720	244.828	316.880	244.745
3573	3770	119.772	316.618	244.336	316.787	244.258
3574	3759	119.380	316.833	244.159	317.005	244.071
3575	3772	119.479	316.814	243.994	316.999	243.914
3576	3773	119.288	316.658	244.120	316.843	244.028
3577	3762	119.216	317.054	243.589	317.242	243.494
3578	3773	118.905	317.072	243.117	317.257	243.018
3579	3760	119.221	317.216	243.225	317.406	243.128
3580	3760	119.518	317.202	243.314	317.393	243.230
3581	3742	119.603	317.200	243.662	317.393	243.573
3582	3751	119.693	317.225	243.982	317.421	243.911
